id;label
I;Ciertas enfermedades infecciosas y parasitarias
II;Tumores (neoplasias)
III;Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad
IV;Enfermedades endocrinas, nutricionales y metabólicas
V;Trastornos mentales y del comportamiento
VI;Enfermedades del sistema nervioso
VII;Enfermedades del ojo y sus anexos
VIII;Enfermedades del oído y de la apófisis mastoides
IX;Enfermedades del sistema circulatorio
X;Enfermedades del sistema respiratorio
XI;Enfermedades del sistema digestivo
XII;Enfermedades de la piel y del tejido subcutáneo
XIII;Enfermedades del sistema osteomuscular y del tejido conjuntivo
XIV;Enfermedades del sistema genitourinario
XV;Embarazo, parto y puerperio
XVI;Ciertas afecciones originadas en el período perinatal
XVII;Malformaciones congénitas, deformidades y anomalías cromosómicas
XVIII;Síntomas, signos y hallazgos anormales clínicos y de laboratorio, no clasificados en otra parte
XIX;Traumatismos, envenenamientos y algunas otras consecuencias de causas externas
XX;Causas externas de morbilidad y de mortalidad
XXI;Factores que influyen en el estado de salud y contacto con los servicios de salud
XXII;Códigos para propósitos especiales
